season,slot,strongseed,weakseed
N,R1Z2,Z02,Z15
N,R1Z3,Z03,Z14
N,R1Z4,Z04,Z13
N,R1Z5,Z05,Z12
N,R1Z6,Z06,Z11
N,R1Z7,Z07,Z10
N,R1Z8,Z08,Z09
N,R2W1,R1W1,R1W8
N,R2W2,R1W2,R1W7
N,R2W3,R1W3,R1W6
N,R2W4,R1W4,R1W5
N,R2X1,R1X1,R1X8
N,R2X2,R1X2,R1X7
N,R2X3,R1X3,R1X6
N,R2X4,R1X4,R1X5
N,R2Y1,R1Y1,R1Y8
N,R2Y2,R1Y2,R1Y7
N,R2Y3,R1Y3,R1Y6
N,R2Y4,R1Y4,R1Y5
N,R2Z1,R1Z1,R1Z8
N,R2Z2,R1Z2,R1Z7
N,R2Z3,R1Z3,R1Z6
N,R2Z4,R1Z4,R1Z5
N,R3W1,R2W1,R2W4
N,R3W2,R2W2,R2W3
N,R3X1,R2X1,R2X4
N,R3X2,R2X2,R2X3
N,R3Y1,R2Y1,R2Y4
N,R3Y2,R2Y2,R2Y3
N,R3Z1,R2Z1,R2Z4
N,R3Z2,R2Z2,R2Z3
N,R4W1,R3W1,R3W2
N,R4X1,R3X1,R3X2
N,R4Y1,R3Y1,R3Y2
N,R4Z1,R3Z1,R3Z2
N,R5WX,R4W1,R4X1
N,R5YZ,R4Y1,R4Z1
N,R6CH,R5WX,R5YZ
O,X16,X16a,X16b
O,R1W1,W01,W16
O,R1W2,W02,W15
O,R1W3,W03,W14
O,R1W4,W04,W13
O,R1W5,W05,W12
O,R1W6,W06,W11
O,R1W7,W07,W10
O,R1W8,W08,W09
O,R1X1,X01,X16
O,R1X2,X02,X15
O,R1X3,X03,X14
O,R1X4,X04,X13
O,R1X5,X05,X12
O,R1X6,X06,X11
O,R1X7,X07,X10
O,R1X8,X08,X09
O,R1Y1,Y01,Y16
O,R1Y2,Y02,Y15
O,R1Y3,Y03,Y14
O,R1Y4,Y04,Y13
O,R1Y5,Y05,Y12
O,R1Y6,Y06,Y11
O,R1Y7,Y07,Y10
O,R1Y8,Y08,Y09
O,R1Z1,Z01,Z16
O,R1Z2,Z02,Z15
O,R1Z3,Z03,Z14
O,R1Z4,Z04,Z13
O,R1Z5,Z05,Z12
O,R1Z6,Z06,Z11
O,R1Z7,Z07,Z10
O,R1Z8,Z08,Z09
O,R2W1,R1W1,R1W8
O,R2W2,R1W2,R1W7
O,R2W3,R1W3,R1W6
O,R2W4,R1W4,R1W5
O,R2X1,R1X1,R1X8
O,R2X2,R1X2,R1X7
O,R2X3,R1X3,R1X6
O,R2X4,R1X4,R1X5
O,R2Y1,R1Y1,R1Y8
O,R2Y2,R1Y2,R1Y7
O,R2Y3,R1Y3,R1Y6
O,R2Y4,R1Y4,R1Y5
O,R2Z1,R1Z1,R1Z8
O,R2Z2,R1Z2,R1Z7
O,R2Z3,R1Z3,R1Z6
O,R2Z4,R1Z4,R1Z5
O,R3W1,R2W1,R2W4
O,R3W2,R2W2,R2W3
O,R3X1,R2X1,R2X4
O,R3X2,R2X2,R2X3
O,R3Y1,R2Y1,R2Y4
O,R3Y2,R2Y2,R2Y3
O,R3Z1,R2Z1,R2Z4
O,R3Z2,R2Z2,R2Z3
O,R4W1,R3W1,R3W2
O,R4X1,R3X1,R3X2
O,R4Y1,R3Y1,R3Y2
O,R4Z1,R3Z1,R3Z2
O,R5WX,R4W1,R4X1
O,R5YZ,R4Y1,R4Z1
O,R6CH,R5WX,R5YZ
P,W12,W12a,W12b
P,W16,W16a,W16b
P,Y16,Y16a,Y16b
P,Z11,Z11a,Z11b
P,R1W1,W01,W16
P,R1W2,W02,W15
P,R1W3,W03,W14
P,R1W4,W04,W13
P,R1W5,W05,W12
P,R1W6,W06,W11
P,R1W7,W07,W10
P,R1W8,W08,W09
P,R1X1,X01,X16
P,R1X2,X02,X15
P,R1X3,X03,X14
P,R1X4,X04,X13
P,R1X5,X05,X12
P,R1X6,X06,X11
P,R1X7,X07,X10
P,R1X8,X08,X09
P,R1Y1,Y01,Y16
P,R1Y2,Y02,Y15
P,R1Y3,Y03,Y14
P,R1Y4,Y04,Y13
P,R1Y5,Y05,Y12
P,R1Y6,Y06,Y11
P,R1Y7,Y07,Y10
P,R1Y8,Y08,Y09
P,R1Z1,Z01,Z16
P,R1Z2,Z02,Z15
P,R1Z3,Z03,Z14
P,R1Z4,Z04,Z13
P,R1Z5,Z05,Z12
P,R1Z6,Z06,Z11
P,R1Z7,Z07,Z10
P,R1Z8,Z08,Z09
P,R2W1,R1W1,R1W8
P,R2W2,R1W2,R1W7
P,R2W3,R1W3,R1W6
P,R2W4,R1W4,R1W5
P,R2X1,R1X1,R1X8
P,R2X2,R1X2,R1X7
P,R2X3,R1X3,R1X6
P,R2X4,R1X4,R1X5
P,R2Y1,R1Y1,R1Y8
P,R2Y2,R1Y2,R1Y7
P,R2Y3,R1Y3,R1Y6
P,R2Y4,R1Y4,R1Y5
P,R2Z1,R1Z1,R1Z8
P,R2Z2,R1Z2,R1Z7
P,R2Z3,R1Z3,R1Z6
P,R2Z4,R1Z4,R1Z5
P,R3W1,R2W1,R2W4
P,R3W2,R2W2,R2W3
P,R3X1,R2X1,R2X4
P,R3X2,R2X2,R2X3
P,R3Y1,R2Y1,R2Y4
P,R3Y2,R2Y2,R2Y3
P,R3Z1,R2Z1,R2Z4
P,R3Z2,R2Z2,R2Z3
P,R4W1,R3W1,R3W2
P,R4X1,R3X1,R3X2
P,R4Y1,R3Y1,R3Y2
P,R4Z1,R3Z1,R3Z2
P,R5WX,R4W1,R4X1
P,R5YZ,R4Y1,R4Z1
P,R6CH,R5WX,R5YZ
Q,X12,X12a,X12b
Q,X16,X16a,X16b
Q,Y16,Y16a,Y16b
Q,Z14,Z14a,Z14b
Q,R1W1,W01,W16
Q,R1W2,W02,W15
Q,R1W3,W03,W14
Q,R1W4,W04,W13
Q,R1W5,W05,W12
Q,R1W6,W06,W11
Q,R1W7,W07,W10
Q,R1W8,W08,W09
Q,R1X1,X01,X16
Q,R1X2,X02,X15
Q,R1X3,X03,X14
Q,R1X4,X04,X13
Q,R1X5,X05,X12
Q,R1X6,X06,X11
Q,R1X7,X07,X10
Q,R1X8,X08,X09
Q,R1Y1,Y01,Y16
Q,R1Y2,Y02,Y15
Q,R1Y3,Y03,Y14
Q,R1Y4,Y04,Y13
Q,R1Y5,Y05,Y12
Q,R1Y6,Y06,Y11
Q,R1Y7,Y07,Y10
Q,R1Y8,Y08,Y09
Q,R1Z1,Z01,Z16
Q,R1Z2,Z02,Z15
Q,R1Z3,Z03,Z14
Q,R1Z4,Z04,Z13
Q,R1Z5,Z05,Z12
Q,R1Z6,Z06,Z11
Q,R1Z7,Z07,Z10
Q,R1Z8,Z08,Z09
Q,R2W1,R1W1,R1W8
Q,R2W2,R1W2,R1W7
Q,R2W3,R1W3,R1W6
Q,R2W4,R1W4,R1W5
Q,R2X1,R1X1,R1X8
Q,R2X2,R1X2,R1X7
Q,R2X3,R1X3,R1X6
Q,R2X4,R1X4,R1X5
Q,R2Y1,R1Y1,R1Y8
Q,R2Y2,R1Y2,R1Y7
Q,R2Y3,R1Y3,R1Y6
Q,R2Y4,R1Y4,R1Y5
Q,R2Z1,R1Z1,R1Z8
Q,R2Z2,R1Z2,R1Z7
Q,R2Z3,R1Z3,R1Z6
Q,R2Z4,R1Z4,R1Z5
Q,R3W1,R2W1,R2W4
Q,R3W2,R2W2,R2W3
Q,R3X1,R2X1,R2X4
Q,R3X2,R2X2,R2X3
Q,R3Y1,R2Y1,R2Y4
Q,R3Y2,R2Y2,R2Y3
Q,R3Z1,R2Z1,R2Z4
Q,R3Z2,R2Z2,R2Z3
Q,R4W1,R3W1,R3W2
Q,R4X1,R3X1,R3X2
Q,R4Y1,R3Y1,R3Y2
Q,R4Z1,R3Z1,R3Z2
Q,R5WX,R4W1,R4X1
Q,R5YZ,R4Y1,R4Z1
Q,R6CH,R5WX,R5YZ
R,W16,W16a,W16b
R,Y11,Y11a,Y11b
R,Y16,Y16a,Y16b
R,Z13,Z13a,Z13b
R,R1W1,W01,W16
R,R1W2,W02,W15
R,R1W3,W03,W14
R,R1W4,W04,W13
R,R1W5,W05,W12
R,R1W6,W06,W11
R,R1W7,W07,W10
R,R1W8,W08,W09
R,R1X1,X01,X16
R,R1X2,X02,X15
R,R1X3,X03,X14
R,R1X4,X04,X13
R,R1X5,X05,X12
R,R1X6,X06,X11
R,R1X7,X07,X10
R,R1X8,X08,X09
R,R1Y1,Y01,Y16
R,R1Y2,Y02,Y15
R,R1Y3,Y03,Y14
R,R1Y4,Y04,Y13
R,R1Y5,Y05,Y12
R,R1Y6,Y06,Y11
R,R1Y7,Y07,Y10
R,R1Y8,Y08,Y09
R,R1Z1,Z01,Z16
R,R1Z2,Z02,Z15
R,R1Z3,Z03,Z14
R,R1Z4,Z04,Z13
R,R1Z5,Z05,Z12
R,R1Z6,Z06,Z11
R,R1Z7,Z07,Z10
R,R1Z8,Z08,Z09
R,R2W1,R1W1,R1W8
R,R2W2,R1W2,R1W7
R,R2W3,R1W3,R1W6
R,R2W4,R1W4,R1W5
R,R2X1,R1X1,R1X8
R,R2X2,R1X2,R1X7
R,R2X3,R1X3,R1X6
R,R2X4,R1X4,R1X5
R,R2Y1,R1Y1,R1Y8
R,R2Y2,R1Y2,R1Y7
R,R2Y3,R1Y3,R1Y6
R,R2Y4,R1Y4,R1Y5
R,R2Z1,R1Z1,R1Z8
R,R2Z2,R1Z2,R1Z7
R,R2Z3,R1Z3,R1Z6
R,R2Z4,R1Z4,R1Z5
R,R3W1,R2W1,R2W4
R,R3W2,R2W2,R2W3
R,R3X1,R2X1,R2X4
R,R3X2,R2X2,R2X3
R,R3Y1,R2Y1,R2Y4
R,R3Y2,R2Y2,R2Y3
R,R3Z1,R2Z1,R2Z4
R,R3Z2,R2Z2,R2Z3
R,R4W1,R3W1,R3W2
R,R4X1,R3X1,R3X2
R,R4Y1,R3Y1,R3Y2
R,R4Z1,R3Z1,R3Z2
R,R5WX,R4W1,R4X1
R,R5YZ,R4Y1,R4Z1
R,R6CH,R5WX,R5YZ
